                             Mem4ristor V3 Chimera
                             Transient Analysis  Sat Feb 14 12:26:22  2026
--------------------------------------------------------------------------------
Index   time            v(v_node)       v(u_node)       v(mode_node)    
--------------------------------------------------------------------------------
0	1.000000e-03	9.991006e-02	5.000000e-01	4.999919e-01	
1	1.028056e-03	9.990753e-02	5.000000e-01	5.000000e-01	
2	1.084169e-03	9.990248e-02	5.000000e-01	5.000000e-01	
3	1.196395e-03	9.989239e-02	5.000000e-01	5.000000e-01	
4	1.420847e-03	9.987219e-02	5.000000e-01	5.000000e-01	
5	1.869750e-03	9.983178e-02	5.000000e-01	5.000000e-01	
6	2.767557e-03	9.975090e-02	5.000001e-01	5.000001e-01	
7	4.563170e-03	9.958886e-02	5.000001e-01	5.000002e-01	
8	8.154397e-03	9.926370e-02	5.000004e-01	5.000006e-01	
9	1.533685e-02	9.860907e-02	5.000015e-01	5.000021e-01	
10	2.970176e-02	9.728262e-02	5.000055e-01	5.000079e-01	
11	5.843157e-02	9.456114e-02	5.000214e-01	5.000306e-01	
12	1.000000e-01	9.046259e-02	5.000626e-01	5.000894e-01	
13	1.057460e-01	8.987930e-02	5.000702e-01	5.001003e-01	
14	1.172379e-01	8.870405e-02	5.000864e-01	5.001234e-01	
15	1.402217e-01	8.631211e-02	5.001234e-01	5.001763e-01	
16	1.861894e-01	8.135798e-02	5.002170e-01	5.003100e-01	
17	2.781248e-01	7.077363e-02	5.004817e-01	5.006881e-01	
18	3.781248e-01	5.825561e-02	5.008862e-01	5.012659e-01	
19	4.781248e-01	4.471723e-02	5.014106e-01	5.020152e-01	
20	5.781248e-01	3.019413e-02	5.020534e-01	5.029335e-01	
21	6.781248e-01	1.473165e-02	5.028128e-01	5.040182e-01	
22	7.781248e-01	-1.61452e-03	5.036867e-01	5.052666e-01	
23	8.781248e-01	-1.87878e-02	5.046732e-01	5.066758e-01	
24	9.781248e-01	-3.67395e-02	5.057702e-01	5.082427e-01	
25	1.078125e+00	-5.54346e-02	5.069754e-01	5.099641e-01	
26	1.178125e+00	-7.48575e-02	5.082865e-01	5.118366e-01	
27	1.278125e+00	-9.50182e-02	5.097010e-01	5.138566e-01	
28	1.378125e+00	-1.15957e-01	5.112166e-01	5.160206e-01	
29	1.478125e+00	-1.37759e-01	5.128305e-01	5.183246e-01	
30	1.578125e+00	-1.60570e-01	5.145402e-01	5.207648e-01	
31	1.678125e+00	-1.84649e-01	5.163427e-01	5.233370e-01	
32	1.778125e+00	-2.10471e-01	5.182354e-01	5.260371e-01	
33	1.878125e+00	-2.39066e-01	5.202152e-01	5.288605e-01	
34	1.978125e+00	-2.73999e-01	5.222792e-01	5.318028e-01	
35	2.027172e+00	-2.97145e-01	5.233215e-01	5.332883e-01	
36	2.051158e+00	-3.16308e-01	5.238384e-01	5.340248e-01	
37	2.068579e+00	-3.30624e-01	5.242166e-01	5.345637e-01	
38	2.085398e+00	-3.43631e-01	5.245841e-01	5.350871e-01	
39	2.101422e+00	-3.55115e-01	5.249362e-01	5.355887e-01	
40	2.133470e+00	-3.75906e-01	5.256464e-01	5.366002e-01	
41	2.197565e+00	-4.11504e-01	5.270899e-01	5.386557e-01	
42	2.261250e+00	-4.41289e-01	5.285543e-01	5.407402e-01	
43	2.361250e+00	-4.80713e-01	5.309121e-01	5.440945e-01	
44	2.461250e+00	-5.13633e-01	5.333383e-01	5.475438e-01	
45	2.561250e+00	-5.41709e-01	5.358297e-01	5.510831e-01	
46	2.661250e+00	-5.66019e-01	5.383830e-01	5.547072e-01	
47	2.761250e+00	-5.87291e-01	5.409946e-01	5.584106e-01	
48	2.861250e+00	-6.06038e-01	5.436611e-01	5.621881e-01	
49	2.961250e+00	-6.22651e-01	5.463789e-01	5.660339e-01	
50	3.061250e+00	-6.37436e-01	5.491443e-01	5.699424e-01	
51	3.161250e+00	-6.50644e-01	5.519538e-01	5.739080e-01	
52	3.261250e+00	-6.62488e-01	5.548035e-01	5.779249e-01	
53	3.361250e+00	-6.73147e-01	5.576898e-01	5.819872e-01	
54	3.461250e+00	-6.82774e-01	5.606090e-01	5.860893e-01	

Index   time            v(v_node)       v(u_node)       v(mode_node)    
--------------------------------------------------------------------------------
55	3.561250e+00	-6.91504e-01	5.635572e-01	5.902252e-01	
56	3.661250e+00	-6.99454e-01	5.665307e-01	5.943890e-01	
57	3.761250e+00	-7.06722e-01	5.695256e-01	5.985750e-01	
58	3.861250e+00	-7.13399e-01	5.725381e-01	6.027771e-01	
59	3.961250e+00	-7.19561e-01	5.755645e-01	6.069897e-01	
60	4.061250e+00	-7.25276e-01	5.786008e-01	6.112068e-01	
61	4.161250e+00	-7.30601e-01	5.816432e-01	6.154227e-01	
62	4.261250e+00	-7.35589e-01	5.846880e-01	6.196316e-01	
63	4.361250e+00	-7.40285e-01	5.877312e-01	6.238279e-01	
64	4.461250e+00	-7.44728e-01	5.907690e-01	6.280115e-01	
65	4.561250e+00	-7.48953e-01	5.937977e-01	6.321659e-01	
66	4.661250e+00	-7.52989e-01	5.968134e-01	6.362912e-01	
67	4.761250e+00	-7.56862e-01	5.998124e-01	6.403818e-01	
68	4.861250e+00	-7.60595e-01	6.027909e-01	6.444326e-01	
69	4.961250e+00	-7.64208e-01	6.057452e-01	6.484384e-01	
70	5.061250e+00	-7.67718e-01	6.086717e-01	6.523942e-01	
71	5.161250e+00	-7.71139e-01	6.115667e-01	6.562951e-01	
72	5.261250e+00	-7.74486e-01	6.144265e-01	6.601364e-01	
73	5.361250e+00	-7.77769e-01	6.172476e-01	6.639133e-01	
